Date,Code
2/18/2020 7:21:05 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/18/2020 7:21:05 PM,Alarm 5.2 LIFT TOPDRIVER I SCREW NOT FED
2/18/2020 7:20:53 PM,Alarm 4.28 LIFT CONSECUTIVE SCREW FEED
2/18/2020 7:20:41 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/18/2020 7:20:41 PM,Alarm 5.2 LIFT TOPDRIVERI SCREW NOT FED
2/18/2020 7:20:15 PM,Alarm 4.28 LIFT CONSECUTIVE SCREW FEED
2/20/2020 2:05:44 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/20/2020 1:59:04 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/20/2020 1:34:51 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/20/2020 1:33:59 PM,Alarm 3.1 LIFT SIDE CLAMP NOT ADVANCED
2/20/2020 12:20:30 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/20/2020 2:19:52 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/20/2020 11:53:09 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/20/2020 11:52:45 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/20/2020 11:29:08 AM,Alarm 1.18 DISCHARGE LIGHT CURTAIN NOT OK
2/20/2020 11:29:08 AM,Alarm 1.1 ESTOP SAFETY NOT OK
2/20/2020 11:06:59 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/20/2020 11:06:43 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/20/2020 10:52:58 AM,Alarm 1.13 VSD 234 FAULT
2/20/2020 10:52:08 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/20/2020 10:51:52 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/20/2020 10:16:13 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/20/2020 10:15:43 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/20/2020 10:05:10 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/20/2020 10:04:40 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/20/2020 9:09:24 AM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/20/2020 9:09:24 AM,Alarm 5.1 LIFT TOPDRIVER1 SCREW NOT FED
